iter	Passed	Remaining
0	53	53676
1	59	29463
2	64	21277
3	68	17120
4	73	14644
5	78	13020
6	83	11814
7	87	10900
8	93	10271
9	98	9784
10	104	9398
11	110	9108
12	116	8845
13	122	8618
14	127	8402
15	133	8218
16	139	8068
17	145	7946
18	151	7817
19	157	7729
20	164	7655
21	170	7572
22	176	7504
23	182	7430
24	188	7368
25	194	7301
26	201	7256
27	207	7200
28	213	7139
29	219	7094
30	225	7047
31	231	6995
32	237	6961
33	243	6911
34	248	6862
35	254	6813
36	260	6778
37	266	6748
38	272	6713
39	278	6678
40	284	6653
41	291	6644
42	299	6668
43	305	6645
44	315	6704
45	321	6670
46	333	6766
47	339	6726
48	347	6737
49	352	6702
50	358	6667
51	364	6639
52	370	6620
53	376	6598
54	382	6577
55	389	6557
56	394	6527
57	399	6492
58	404	6458
59	409	6420
60	414	6384
61	419	6351
62	424	6312
63	428	6272
64	433	6241
65	439	6215
66	443	6177
67	448	6148
68	453	6124
69	460	6112
70	466	6098
71	472	6086
72	478	6072
73	483	6051
74	488	6025
75	493	6004
76	500	5999
77	505	5979
78	510	5955
79	516	5936
80	521	5912
81	525	5885
82	530	5861
83	535	5837
84	540	5816
85	545	5794
86	550	5773
87	554	5749
88	559	5723
89	563	5701
90	568	5677
91	573	5658
92	578	5637
93	582	5617
94	587	5595
95	591	5572
96	596	5556
97	601	5537
98	606	5516
99	610	5498
100	615	5481
101	620	5459
102	624	5438
103	629	5420
104	634	5404
105	638	5387
106	644	5374
107	648	5360
108	653	5340
109	657	5321
110	663	5311
111	668	5301
112	674	5292
113	679	5280
114	683	5263
115	688	5245
116	692	5230
117	697	5213
118	701	5196
119	706	5179
120	710	5163
121	715	5148
122	719	5131
123	724	5116
124	728	5100
125	732	5084
126	737	5067
127	741	5054
128	746	5039
129	750	5024
130	756	5015
131	760	5003
132	765	4990
133	769	4976
134	774	4962
135	778	4948
136	783	4935
137	787	4921
138	792	4908
139	796	4893
140	801	4881
141	805	4868
142	810	4857
143	815	4848
144	820	4839
145	825	4829
146	830	4817
147	834	4806
148	839	4795
149	844	4788
150	850	4779
151	854	4769
152	859	4760
153	864	4749
154	868	4737
155	873	4725
156	878	4717
157	883	4710
158	888	4701
159	893	4690
160	898	4680
161	902	4670
162	908	4664
163	913	4657
164	918	4647
165	923	4638
166	927	4627
167	932	4616
168	936	4606
169	941	4595
170	945	4584
171	949	4572
172	954	4564
173	959	4553
174	963	4543
175	969	4537
176	974	4529
177	979	4521
178	983	4512
179	988	4504
180	993	4495
181	998	4488
182	1003	4481
183	1008	4472
184	1013	4463
185	1017	4453
186	1022	4445
187	1027	4437
188	1031	4427
189	1036	4419
190	1041	4409
191	1045	4400
192	1050	4391
193	1054	4381
194	1059	4375
195	1065	4371
196	1070	4364
197	1076	4360
198	1081	4352
199	1086	4346
200	1091	4338
201	1096	4331
202	1101	4323
203	1106	4317
204	1111	4308
205	1115	4299
206	1120	4291
207	1124	4282
208	1128	4272
209	1133	4264
210	1138	4255
211	1142	4247
212	1147	4238
213	1151	4230
214	1155	4220
